0.000000,0.104528,0.207912,0.309017,0.406737,0.500000,0.587785,0.669131,0.743145,0.809017,0.866025,0.913545,0.951057,0.978148,0.994522,1.000000,0.994522,0.978148,0.951057,0.913545,0.866025,0.809017,0.743145,0.669131,0.587785,0.500000,0.406737,0.309017,0.207912,0.104528,0.000000,-0.104528,-0.207912,-0.309017,-0.406737,-0.500000,-0.587785,-0.669131,-0.743145,-0.809017,-0.866025,-0.913545,-0.951057,-0.978148,-0.994522,-1.000000,-0.994522,-0.978148,-0.951057,-0.913545,-0.866025,-0.809017,-0.743145,-0.669131,-0.587785,-0.500000,-0.406737,-0.309017,-0.207912,-0.104528
-0.207912,-0.049697,0.074305,0.184072,0.285357,0.379697,0.467250,0.547690,0.620526,0.685222,0.741267,0.788199,0.825626,0.853242,0.870831,0.878273,0.875552,0.862753,0.840064,0.807775,0.766277,0.716056,0.657689,0.591838,0.519246,0.440725,0.357147,0.269440,0.178571,0.085544,-0.008622,-0.102892,-0.196236,-0.287637,-0.376098,-0.460661,-0.540411,-0.614490,-0.682102,-0.742530,-0.795135,-0.839370,-0.874783,-0.901023,-0.917846,-0.925114,-0.922805,-0.911003,-0.889910,-0.859835,-0.821197,-0.774522,-0.720439,-0.659674,-0.593050,-0.521481,-0.445978,-0.367656,-0.287784,-0.207912
-0.309017,-0.169711,-0.045067,0.067609,0.170924,0.266180,0.353826,0.433856,0.506045,0.570079,0.625622,0.672356,0.710007,0.738364,0.757285,0.766710,0.766662,0.757249,0.738671,0.711215,0.675252,0.631240,0.579715,0.521288,0.456638,0.386506,0.311687,0.233023,0.151391,0.067697,-0.017138,-0.102181,-0.186505,-0.269195,-0.349358,-0.426136,-0.498709,-0.566314,-0.628245,-0.683865,-0.732615,-0.774016,-0.807682,-0.833316,-0.850723,-0.859808,-0.860579,-0.853151,-0.837745,-0.814686,-0.784405,-0.747436,-0.704415,-0.656078,-0.603260,-0.546898,-0.488037,-0.427846,-0.367656,-0.309017
-0.406737,-0.275061,-0.152472,-0.039492,0.064549,0.160275,0.248019,0.327861,0.399720,0.463429,0.518787,0.565596,0.603683,0.632922,0.653237,0.664622,0.667135,0.660911,0.646158,0.623161,0.592277,0.553939,0.508645,0.456961,0.399512,0.336974,0.270074,0.199575,0.126274,0.050989,-0.025444,-0.102188,-0.178408,-0.253280,-0.326005,-0.395813,-0.461976,-0.523812,-0.580697,-0.632070,-0.677442,-0.716399,-0.748611,-0.773836,-0.791922,-0.802814,-0.806552,-0.803278,-0.793233,-0.776760,-0.754301,-0.726402,-0.693707,-0.656962,-0.617013,-0.574813,-0.531425,-0.488037,-0.445978,-0.406737
-0.500000,-0.371324,-0.250268,-0.137653,-0.033512,0.062353,0.150115,0.229850,0.301545,0.365129,0.420501,0.467557,0.506210,0.536402,0.558122,0.571405,0.576347,0.573102,0.561890,0.542994,0.516758,0.483593,0.443966,0.398401,0.347474,0.291806,0.232059,0.168930,0.103140,0.035433,-0.033440,-0.102720,-0.171657,-0.239511,-0.305566,-0.369135,-0.429568,-0.486260,-0.538661,-0.586277,-0.628684,-0.665526,-0.696528,-0.721495,-0.740316,-0.752973,-0.759537,-0.760175,-0.755149,-0.744818,-0.729638,-0.710164,-0.687050,-0.661049,-0.633018,-0.603915,-0.574813,-0.546898,-0.521481,-0.500000
-0.587785,-0.459966,-0.339623,-0.227341,-0.123298,-0.027465,0.060239,0.139879,0.211483,0.275042,0.330533,0.377924,0.417197,0.448358,0.471443,0.486530,0.493745,0.493262,0.485308,0.470166,0.448171,0.419711,0.385226,0.345205,0.300178,0.250717,0.197428,0.140945,0.081926,0.021042,-0.041026,-0.103594,-0.165987,-0.227541,-0.287614,-0.345593,-0.400900,-0.453000,-0.501408,-0.545693,-0.585489,-0.620494,-0.650481,-0.675298,-0.694874,-0.709224,-0.718448,-0.722736,-0.722370,-0.717725,-0.709268,-0.697566,-0.683279,-0.667168,-0.650093,-0.633018,-0.617013,-0.603260,-0.593050,-0.587785
-0.669131,-0.541132,-0.420916,-0.308789,-0.204872,-0.109155,-0.021574,0.057946,0.129464,0.193026,0.248664,0.296409,0.336299,0.368390,0.392762,0.409530,0.418843,0.420894,0.415917,0.404193,0.386048,0.361854,0.332025,0.297015,0.257318,0.213458,0.165993,0.115500,0.062577,0.007835,-0.048111,-0.104643,-0.161155,-0.217050,-0.271755,-0.324722,-0.375438,-0.423432,-0.468276,-0.509599,-0.547084,-0.580480,-0.609602,-0.634341,-0.654659,-0.670601,-0.682295,-0.689951,-0.693871,-0.694442,-0.692144,-0.687552,-0.681333,-0.674251,-0.667168,-0.661049,-0.656962,-0.656078,-0.659674,-0.669131
-0.743145,-0.614514,-0.494119,-0.382029,-0.278246,-0.182708,-0.095323,-0.015985,0.055404,0.118935,0.174690,0.222750,0.263201,0.296141,0.321688,0.339986,0.351206,0.355555,0.353273,0.344642,0.329978,0.309635,0.284006,0.253515,0.218620,0.179807,0.137586,0.092485,0.045049,-0.004167,-0.054606,-0.105713,-0.156938,-0.207749,-0.257632,-0.306100,-0.352698,-0.397011,-0.438666,-0.477340,-0.512767,-0.544737,-0.573108,-0.597803,-0.618819,-0.636227,-0.650178,-0.660903,-0.668719,-0.674027,-0.677315,-0.679166,-0.680249,-0.681333,-0.683279,-0.687050,-0.693707,-0.704415,-0.720439,-0.743145
-0.809017,-0.679661,-0.559016,-0.446961,-0.343372,-0.248109,-0.161024,-0.081967,-0.010797,0.052620,0.108412,0.156701,0.197615,0.231287,0.257866,0.277521,0.290442,0.296847,0.296983,0.291126,0.279587,0.262704,0.240849,0.214421,0.183844,0.149567,0.112060,0.071807,0.029304,-0.014944,-0.060433,-0.106661,-0.153134,-0.199375,-0.244923,-0.289347,-0.332243,-0.373247,-0.412035,-0.448329,-0.481905,-0.512595,-0.540289,-0.564944,-0.586585,-0.605309,-0.621286,-0.634765,-0.646075,-0.655630,-0.663925,-0.671545,-0.679166,-0.687552,-0.697566,-0.710164,-0.726402,-0.747436,-0.774522,-0.809017
-0.866025,-0.736097,-0.615322,-0.503427,-0.400172,-0.305332,-0.218695,-0.140062,-0.069244,-0.006066,0.049638,0.098030,0.139272,0.173527,0.200971,0.221792,0.236196,0.244411,0.246686,0.243296,0.234541,0.220749,0.202269,0.179477,0.152769,0.122560,0.089282,0.053380,0.015308,-0.024478,-0.065519,-0.107362,-0.149562,-0.191690,-0.233338,-0.274119,-0.313679,-0.351698,-0.387895,-0.422035,-0.453930,-0.483446,-0.510507,-0.535098,-0.557269,-0.577137,-0.594891,-0.610794,-0.625188,-0.638492,-0.651208,-0.663925,-0.677315,-0.692144,-0.709268,-0.729638,-0.754301,-0.784405,-0.821197,-0.866025
